SongID,track_id,artists,album_name,track_name,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre,YouTube URL
4169,1BfR5GMOgW0peHkPxrwf11,Greta Van Fleet,From The Fires,Safari Song,67,234600,False,0.362,0.928,2,-4.015,1,0.0503,0.164,1.61e-05,0.315,0.678,175.868,4,hard-rock,https://www.youtube.com/watch?v=PJXizasWnIo&pp=ygUwR3JldGEgVmFuIEZsZWV0IFNhZmFyaSBTb25nIG9mZmljaWFsIG11c2ljIHZpZGVv
4170,67oyFnjJnn78fZP9KjeZx0,Supertramp,Breakfast In America (Deluxe Edition),Goodbye Stranger - 2010 Remastered,67,350573,False,0.42,0.668,1,-7.35,1,0.0517,0.607,0.016,0.0585,0.338,125.391,4,piano,https://www.youtube.com/watch?v=9aykOwwRf-Q&pp=ygVCU3VwZXJ0cmFtcCBHb29kYnllIFN0cmFuZ2VyIC0gMjAxMCBSZW1hc3RlcmVkIG9mZmljaWFsIG11c2ljIHZpZGVv
4171,1yYE8EyuIV0rrvQ1bA2Fyf,Bring Me The Horizon,That's The Spirit,Happy Song,67,239386,True,0.295,0.924,5,-3.407,1,0.0678,4.02e-05,0.00462,0.377,0.219,171.941,4,metalcore,https://www.youtube.com/watch?v=58LeVo7j46w&pp=ygU0QnJpbmcgTWUgVGhlIEhvcml6b24gSGFwcHkgU29uZyBvZmZpY2lhbCBtdXNpYyB2aWRlbw%3D%3D
4172,0UeYCHOETPfai02uskjJ3x,Bag Raiders,Bag Raiders (Deluxe),Shooting Stars,67,235813,False,0.636,0.72,11,-6.195,1,0.0432,0.0893,0.0178,0.0868,0.425,124.944,4,disco,https://www.youtube.com/watch?v=feA64wXhbjo&pp=ygUvQmFnIFJhaWRlcnMgU2hvb3RpbmcgU3RhcnMgb2ZmaWNpYWwgbXVzaWMgdmlkZW8%3D
4173,1SWmFiFSIBoDbQJjNKC7SR,Bob Seger,Against The Wind,Against The Wind,67,333720,False,0.674,0.771,7,-5.612,1,0.0246,0.28,0.0318,0.133,0.718,109.618,4,hard-rock,https://www.youtube.com/watch?v=2vRsEC65NTA&pp=ygUvQm9iIFNlZ2VyIEFnYWluc3QgVGhlIFdpbmQgb2ZmaWNpYWwgbXVzaWMgdmlkZW8%3D
4174,3k9PtGmPNnQtt32TKWm6f3,MC STAN,Insaan,Basti Ka Hasti,67,195428,True,0.726,0.624,9,-7.741,1,0.382,0.156,0.0,0.601,0.421,139.594,4,hip-hop,https://www.youtube.com/watch?v=GbXtCRCT0Ig&pp=ygUrTUMgU1RBTiBCYXN0aSBLYSBIYXN0aSBvZmZpY2lhbCBtdXNpYyB2aWRlbw%3D%3D
4175,3fkPMWQ6cBNBLuFcPyMS8s,Blue Öyster Cult,Fire of Unknown Origin,Burnin' for You,67,271000,False,0.532,0.728,9,-9.079,0,0.0352,0.106,0.0108,0.0849,0.69,134.303,4,hard-rock,https://www.youtube.com/watch?v=kn-8n4QKUS4&pp=ygU2Qmx1ZSDDlnlzdGVyIEN1bHQgQnVybmluJyBmb3IgWW91IG9mZmljaWFsIG11c2ljIHZpZGVv
4176,36cqlmc53NqlEUqPJdgUOx,Sidhu Moose Wala;Raja Kumari,Moosetape,US (feat. Raja Kumari),67,230068,False,0.524,0.601,8,-6.112,0,0.0404,0.663,0.0,0.114,0.598,72.048,4,hip-hop,https://www.youtube.com/watch?v=c8UUWkUJu6E&pp=ygVIU2lkaHUgTW9vc2UgV2FsYTtSYWphIEt1bWFyaSBVUyAoZmVhdC4gUmFqYSBLdW1hcmkpIG9mZmljaWFsIG11c2ljIHZpZGVv
4177,7qfoq1JFKBUEIvhqOHzuqX,Leslie Odom Jr.;Lin-Manuel Miranda;Renée Elise Goldsberry;Phillipa Soo;Christopher Jackson;Original Broadway Cast of Hamilton,Hamilton (Original Broadway Cast Recording),Non-Stop,67,385438,False,0.77,0.482,6,-9.529,1,0.351,0.211,0.0,0.223,0.441,91.994,4,show-tunes,https://www.youtube.com/watch?v=DPgE7PNzXag&pp=ygWcAUxlc2xpZSBPZG9tIEpyLjtMaW4tTWFudWVsIE1pcmFuZGE7UmVuw6llIEVsaXNlIEdvbGRzYmVycnk7UGhpbGxpcGEgU29vO0NocmlzdG9waGVyIEphY2tzb247T3JpZ2luYWwgQnJvYWR3YXkgQ2FzdCBvZiBIYW1pbHRvbiBOb24tU3RvcCBvZmZpY2lhbCBtdXNpYyB2aWRlbw%3D%3D
4178,2NVpYQqdraEcQwqT7GhUkh,Chaka Khan,"Epiphany: The Best of Chaka Khan, Vol. 1",Ain't Nobody,67,280853,False,0.8,0.878,1,-7.109,1,0.0434,0.189,0.000104,0.14,0.816,104.282,4,disco,https://www.youtube.com/watch?v=BNirQXe8HOA&pp=ygUsQ2hha2EgS2hhbiBBaW4ndCBOb2JvZHkgb2ZmaWNpYWwgbXVzaWMgdmlkZW8%3D
4179,7zrpoAJte9o12TzawqgdD0,Andrea Bocelli,Bocelli (Remastered),Con te partirò,67,250983,False,0.241,0.367,7,-7.95,1,0.0311,0.844,0.00279,0.0873,0.302,135.267,5,opera,https://www.youtube.com/watch?v=TdWEhMOrRpQ&pp=ygUzQW5kcmVhIEJvY2VsbGkgQ29uIHRlIHBhcnRpcsOyIG9mZmljaWFsIG11c2ljIHZpZGVv
